miasto,lat,lon,kraj,iso,region,kontynent
Kolchugino,56.3167,39.3667,Russia,RUS,Vladimirskaya Oblast’,Europe
Hodmezovasarhely,46.4304,20.3188,Hungary,HUN,Hódmezővásárhely,Europe
Tiel,51.8833,5.4333,Netherlands,NLD,Gelderland,Europe
Kirchheim unter Teck,48.6483,9.4511,Germany,DEU,Baden-Württemberg,Europe
Schwabisch Hall,49.1122,9.7375,Germany,DEU,Baden-Württemberg,Europe
Dunaujvaros,46.9806,18.9127,Hungary,HUN,Dunaújváros,Europe
Beverwijk,52.4833,4.65,Netherlands,NLD,Noord-Holland,Europe
Kalmar,56.6614,16.3628,Sweden,SWE,Kalmar,Europe
Coburg,50.2667,10.9667,Germany,DEU,Bavaria,Europe
Urmston,53.4487,-2.3747,United Kingdom,GBR,Trafford,Europe
Civitanova Marche,43.3,13.7333,Italy,ITA,Marche,Europe
Koniz,46.9333,7.4,Switzerland,CHE,Bern,Europe
Uden,51.65,5.6167,Netherlands,NLD,Noord-Brabant,Europe
Krasnoznamensk,55.6008,37.0358,Russia,RUS,Moskovskaya Oblast’,Europe
Bodo,67.2827,14.3751,Norway,NOR,Nordland,Europe
Alimos,37.9167,23.7167,Greece,GRC,Attikí,Europe
Varash,51.3444,25.8508,Ukraine,UKR,Rivnenska Oblast,Europe
Wunstorf,52.4275,9.4294,Germany,DEU,Lower Saxony,Europe
Blanes,41.676,2.793,Spain,ESP,Catalonia,Europe
Prerov,49.4556,17.4511,Czechia,CZE,Olomoucký Kraj,Europe
Gay,51.4678,58.4431,Russia,RUS,Orenburgskaya Oblast’,Europe
Le Cannet,43.5769,7.0194,France,FRA,Provence-Alpes-Côte d’Azur,Europe
Dubrovnik,42.6403,18.1083,Croatia,HRV,Dubrovačko-Neretvanska Županija,Europe
Lloret de Mar,41.7,2.8333,Spain,ESP,Catalonia,Europe
Slobozia,44.5639,27.3661,Romania,ROU,Ialomiţa,Europe
San Dona di Piave,45.6333,12.5667,Italy,ITA,Veneto,Europe
Bourg-en-Bresse,46.2056,5.2289,France,FRA,Auvergne-Rhône-Alpes,Europe
Konigswinter,50.6736,7.1947,Germany,DEU,North Rhine-Westphalia,Europe
Karabulak,43.3167,44.9167,Russia,RUS,Ingushetiya,Europe
Desio,45.6167,9.2167,Italy,ITA,Lombardy,Europe
Eberswalde,52.8333,13.8333,Germany,DEU,Brandenburg,Europe
Nurtingen,48.6333,9.3333,Germany,DEU,Baden-Württemberg,Europe
Caerphilly,51.578,-3.218,United Kingdom,GBR,Caerphilly,Europe
Germering,48.1333,11.3667,Germany,DEU,Bavaria,Europe
Nordhausen,51.505,10.7911,Germany,DEU,Thuringia,Europe
Huckelhoven,51.0608,6.2197,Germany,DEU,North Rhine-Westphalia,Europe
Bridgwater,51.128,-2.993,United Kingdom,GBR,Somerset,Europe
Leigh,53.4975,-2.515,United Kingdom,GBR,Wigan,Europe
Mikolow,50.1667,18.9,Poland,POL,Śląskie,Europe
Wijchen,51.8,5.7333,Netherlands,NLD,Gelderland,Europe
Fredericia,55.5667,9.75,Denmark,DNK,Syddanmark,Europe
Rozzano,45.3833,9.15,Italy,ITA,Lombardy,Europe
Santa Eulalia del Rio,38.9847,1.5336,Spain,ESP,Balearic Islands,Europe
Schwabach,49.3292,11.0208,Germany,DEU,Bavaria,Europe
Zakynthos,37.8,20.75,Greece,GRC,Ionía Nísia,Europe
Igualada,41.5833,1.6167,Spain,ESP,Catalonia,Europe
Anglet,43.485,-1.5183,France,FRA,Nouvelle-Aquitaine,Europe
Geel,51.1667,5,Belgium,BEL,Flanders,Europe
Temryuk,45.2667,37.3667,Russia,RUS,Krasnodarskiy Kray,Europe
Huizen,52.3,5.25,Netherlands,NLD,Noord-Holland,Europe
Angouleme,45.65,0.16,France,FRA,Nouvelle-Aquitaine,Europe
Newbury,51.401,-1.323,United Kingdom,GBR,West Berkshire,Europe
Merano,46.6667,11.1667,Italy,ITA,Trentino-Alto Adige,Europe
Bujanovac,42.4667,21.7667,Serbia,SRB,Bujanovac,Europe
Sarande,39.875,20.01,Albania,ALB,Vlorë,Europe
Welling,51.4594,0.1097,United Kingdom,GBR,Bexley,Europe
Monterotondo,42.05,12.6167,Italy,ITA,Lazio,Europe
Drogheda,53.715,-6.3525,Ireland,IRL,Louth,Europe
Buxtehude,53.4769,9.7011,Germany,DEU,Lower Saxony,Europe
Boulogne-sur-Mer,50.7264,1.6147,France,FRA,Hauts-de-France,Europe
Velika Plana,44.334,21.0768,Serbia,SRB,Velika Plana,Europe
Pugachev,52.0167,48.8,Russia,RUS,Saratovskaya Oblast’,Europe
Wattrelos,50.7,3.217,France,FRA,Hauts-de-France,Europe
Buchholz in der Nordheide,53.3167,9.8667,Germany,DEU,Lower Saxony,Europe
Neumarkt,49.2833,11.4667,Germany,DEU,Bavaria,Europe
Saint-Germain-en-Laye,48.8989,2.0938,France,FRA,Île-de-France,Europe
Swords,53.4597,-6.2181,Ireland,IRL,Fingal,Europe
Sassuolo,44.55,10.7833,Italy,ITA,Emilia-Romagna,Europe
Kingswood,51.46,-2.505,United Kingdom,GBR,South Gloucestershire,Europe
Kirkkonummi,60.1167,24.4333,Finland,FIN,Uusimaa,Europe
Villafranca del Panades,41.3447,1.6994,Spain,ESP,Catalonia,Europe
Dunstable,51.886,-0.521,United Kingdom,GBR,Central Bedfordshire,Europe
Vasto,42.1167,14.7069,Italy,ITA,Abruzzo,Europe
Pirmasens,49.2,7.6,Germany,DEU,Rhineland-Palatinate,Europe
Tomar,39.6,-8.4167,Portugal,PRT,Santarém,Europe
Sint-Truiden,50.8,5.1833,Belgium,BEL,Flanders,Europe
Veles,41.7153,21.7753,North Macedonia,MKD,Veles,Europe
Bury Saint Edmunds,52.2474,0.7183,United Kingdom,GBR,Suffolk,Europe
Avezzano,42.0411,13.4397,Italy,ITA,Abruzzo,Europe
Ladispoli,41.95,12.0833,Italy,ITA,Lazio,Europe
Pechora,65.1667,57.25,Russia,RUS,Komi,Europe
Lemgo,52.0272,8.9117,Germany,DEU,North Rhine-Westphalia,Europe
Villenave-d'Ornon,44.7806,-0.5658,France,FRA,Nouvelle-Aquitaine,Europe
Gap,44.5594,6.0786,France,FRA,Provence-Alpes-Côte d’Azur,Europe
Macerata,43.3003,13.4533,Italy,ITA,Marche,Europe
Sovetsk,55.0808,21.8864,Russia,RUS,Kaliningradskaya Oblast’,Europe
Freiberg,50.9119,13.3428,Germany,DEU,Saxony,Europe
Corigliano Calabro,39.6,16.5167,Italy,ITA,Calabria,Europe
Minsk Mazowiecki,52.1833,21.5667,Poland,POL,Mazowieckie,Europe
Halberstadt,51.8958,11.0467,Germany,DEU,Saxony-Anhalt,Europe
Leinfelden-Echterdingen,48.6928,9.1428,Germany,DEU,Baden-Württemberg,Europe
Ramsgate,51.336,1.416,United Kingdom,GBR,Kent,Europe
Montelimar,44.5581,4.7508,France,FRA,Auvergne-Rhône-Alpes,Europe
Compiegne,49.4149,2.8231,France,FRA,Hauts-de-France,Europe
Hofheim,50.0833,8.45,Germany,DEU,Hesse,Europe
Zainsk,55.3,52.0167,Russia,RUS,Tatarstan,Europe
Stains,48.95,2.3833,France,FRA,Île-de-France,Europe
Romny,50.75,33.4667,Ukraine,UKR,Sumska Oblast,Europe
Hellevoetsluis,51.8167,4.1333,Netherlands,NLD,Zuid-Holland,Europe
Belaya Kalitva,48.1833,40.7667,Russia,RUS,Rostovskaya Oblast’,Europe
Karditsa,39.3667,21.9167,Greece,GRC,Thessalía,Europe
Lohne,52.2,8.7,Germany,DEU,North Rhine-Westphalia,Europe
Ahaus,52.0667,7,Germany,DEU,North Rhine-Westphalia,Europe
Swinoujscie,53.9167,14.25,Poland,POL,Zachodniopomorskie,Europe
Schorndorf,48.8,9.5333,Germany,DEU,Baden-Württemberg,Europe
Volklingen,49.25,6.8333,Germany,DEU,Saarland,Europe
Gagny,48.8833,2.5333,France,FRA,Île-de-France,Europe
Myrhorod,49.9667,33.6,Ukraine,UKR,Poltavska Oblast,Europe
Colomiers,43.6139,1.3367,France,FRA,Occitanie,Europe
Podilsk,47.7419,29.535,Ukraine,UKR,Odeska Oblast,Europe
Tutayev,57.8833,39.55,Russia,RUS,Yaroslavskaya Oblast’,Europe
Torre Annunziata,40.75,14.45,Italy,ITA,Campania,Europe
Sisak,45.4872,16.3761,Croatia,HRV,Sisačko-Moslavačka Županija,Europe
Jarvenpaa,60.475,25.0917,Finland,FIN,Uusimaa,Europe
Soria,41.7667,-2.4667,Spain,ESP,Castille-Leon,Europe
Bragadiru,44.3708,25.975,Romania,ROU,Ilfov,Europe
Montana,43.4075,23.2217,Bulgaria,BGR,Montana,Europe
Poissy,48.9294,2.0456,France,FRA,Île-de-France,Europe
Sieradz,51.6,18.75,Poland,POL,Łódzkie,Europe
Oraiokastro,40.7333,22.9167,Greece,GRC,Kentrikí Makedonía,Europe
Lidkoping,58.5,13.1833,Sweden,SWE,Västra Götaland,Europe
Strood,51.393,0.478,United Kingdom,GBR,Medway,Europe
Nicastro,38.9833,16.3167,Italy,ITA,Calabria,Europe
Herstal,50.6667,5.6333,Belgium,BEL,Wallonia,Europe
Szigetszentmiklos,47.3456,19.0483,Hungary,HUN,Pest,Europe
Fushe Kosove,42.63,21.12,Kosovo,XKS,Fushë Kosovë,Europe
Visoko,43.9833,18.1667,Bosnia and Herzegovina,BIH,"Bosnia and Herzegovina, Federation of",Europe
Vyshneve,50.3869,30.3581,Ukraine,UKR,Kyivska Oblast,Europe
Brcko,44.8772,18.8111,Bosnia and Herzegovina,BIH,Brcko District,Europe
Barcellona-Pozzo di Gotto,38.15,15.2167,Italy,ITA,Sicilia,Europe
Zvolen,48.5706,19.1175,Slovakia,SVK,Banská Bystrica,Europe
Braine-l'Alleud,50.6833,4.3667,Belgium,BEL,Wallonia,Europe
Maintal,50.15,8.8333,Germany,DEU,Hesse,Europe
Kopavogur,64.1108,-21.9094,Iceland,ISL,Kópavogur,Europe
Rauma,61.1333,21.5,Finland,FIN,Satakunta,Europe
Rovereto,45.8833,11.05,Italy,ITA,Trentino-Alto Adige,Europe
Ostfildern,48.7333,9.25,Germany,DEU,Baden-Württemberg,Europe
Carini,38.1333,13.1833,Italy,ITA,Sicilia,Europe
Apsheronsk,44.4667,39.7333,Russia,RUS,Krasnodarskiy Kray,Europe
Maarssen,52.1351,5.0413,Netherlands,NLD,Utrecht,Europe
Draguignan,43.5403,6.4667,France,FRA,Provence-Alpes-Côte d’Azur,Europe
Novozybkov,52.5333,31.9333,Russia,RUS,Bryanskaya Oblast’,Europe
Albano Laziale,41.7333,12.6667,Italy,ITA,Lazio,Europe
Cantu,45.7333,9.1333,Italy,ITA,Lombardy,Europe
Pomigliano d'Arco,40.9167,14.4,Italy,ITA,Campania,Europe
Burjasot,39.5064,-0.4067,Spain,ESP,Valencia,Europe
Ettlingen,48.9333,8.4,Germany,DEU,Baden-Württemberg,Europe
Srebrenik,44.7,18.4833,Bosnia and Herzegovina,BIH,"Bosnia and Herzegovina, Federation of",Europe
Douai,50.3714,3.08,France,FRA,Hauts-de-France,Europe
Wageningen,51.9667,5.6667,Netherlands,NLD,Gelderland,Europe
Ninove,50.8333,4.0167,Belgium,BEL,Flanders,Europe
Parnu,58.3833,24.5,Estonia,EST,Pärnu,Europe
Vendrell,41.2203,1.5347,Spain,ESP,Catalonia,Europe
Skovde,58.3833,13.85,Sweden,SWE,Västra Götaland,Europe
Freital,51.0167,13.65,Germany,DEU,Saxony,Europe
Fondi,41.35,13.4167,Italy,ITA,Lazio,Europe
Ecija,37.5333,-5.0833,Spain,ESP,Andalusia,Europe
Media,46.15,24.35,Romania,ROU,Sibiu,Europe
San Giuliano Milanese,45.4,9.2833,Italy,ITA,Lombardy,Europe
Marratxi,39.6422,2.7528,Spain,ESP,Balearic Islands,Europe
Plasencia,40.0333,-6.1,Spain,ESP,Extremadura,Europe
Zyrardow,52.05,20.4333,Poland,POL,Mazowieckie,Europe
Abinsk,44.8667,38.15,Russia,RUS,Krasnodarskiy Kray,Europe
Bagnolet,48.8692,2.4181,France,FRA,Île-de-France,Europe
Morshansk,53.45,41.8167,Russia,RUS,Tambovskaya Oblast’,Europe
Marcq-en-Baroeul,50.6711,3.0972,France,FRA,Hauts-de-France,Europe
Gradacac,44.8789,18.4258,Bosnia and Herzegovina,BIH,"Bosnia and Herzegovina, Federation of",Europe
Abrantes,39.4633,-8.1975,Portugal,PRT,Santarém,Europe
Cesano Maderno,45.6281,9.1461,Italy,ITA,Lombardy,Europe
Istog,42.7833,20.4833,Kosovo,XKS,Istog,Europe
Neu Isenburg,50.05,8.7,Germany,DEU,Hesse,Europe
Niederkassel,50.8167,7.0333,Germany,DEU,North Rhine-Westphalia,Europe
Chojnice,53.7,17.55,Poland,POL,Pomorskie,Europe
Yuzhnoukrainsk,47.8217,31.175,Ukraine,UKR,Mykolaivska Oblast,Europe
Langen,49.9833,8.6667,Germany,DEU,Hesse,Europe
Heemskerk,52.5167,4.6667,Netherlands,NLD,Noord-Holland,Europe
Iesi,43.5236,13.2392,Italy,ITA,Marche,Europe
Mettmann,51.25,6.9667,Germany,DEU,North Rhine-Westphalia,Europe
Ilmenau,50.6839,10.9194,Germany,DEU,Thuringia,Europe
Stendal,52.6,11.85,Germany,DEU,Saxony-Anhalt,Europe
Pirna,50.9622,13.9403,Germany,DEU,Saxony,Europe
Naron,43.55,-8.15,Spain,ESP,Galicia,Europe
Weissenfels,51.2,11.9667,Germany,DEU,Saxony-Anhalt,Europe
Lluchmayor,39.4833,2.8833,Spain,ESP,Balearic Islands,Europe
Torre-Pacheco,37.7333,-0.95,Spain,ESP,Murcia,Europe
Marinha Grande,39.75,-8.9333,Portugal,PRT,Leiria,Europe
Rtishchevo,52.2667,43.7667,Russia,RUS,Saratovskaya Oblast’,Europe
Trofa,41.35,-8.55,Portugal,PRT,Porto,Europe
Cleethorpes,53.5533,-0.0215,United Kingdom,GBR,North East Lincolnshire,Europe
Gornji Milanovac,44.0242,20.46,Serbia,SRB,Gornji Milanovac,Europe
Tromso,69.6828,18.9428,Norway,NOR,Troms og Finnmark,Europe
San Fernando de Henares,40.4256,-3.5353,Spain,ESP,Madrid,Europe
Sciacca,37.5092,13.0889,Italy,ITA,Sicilia,Europe
La Chaux-de-Fonds,47.1013,6.825,Switzerland,CHE,Neuchâtel,Europe
Goes,51.5,3.8833,Netherlands,NLD,Zeeland,Europe
Mafamude,41.135,-8.617,Portugal,PRT,Porto,Europe
Konigs Wusterhausen,52.2917,13.625,Germany,DEU,Brandenburg,Europe
Ohrid,41.1169,20.8019,North Macedonia,MKD,Ohrid,Europe
Skelmersdale,53.55,-2.776,United Kingdom,GBR,Lancashire,Europe
Ermezinde,41.217,-8.55,Portugal,PRT,Porto,Europe
Nykoping,58.7531,17.0086,Sweden,SWE,Södermanland,Europe
Tipton,52.5259,-2.0751,United Kingdom,GBR,Dudley,Europe
Eccles,53.4824,-2.339,United Kingdom,GBR,Salford,Europe
Fasano,40.8333,17.3667,Italy,ITA,Puglia,Europe
Villepinte,48.955,2.541,France,FRA,Île-de-France,Europe
Dzhankoi,45.7086,34.3933,Ukraine,UKR,"Krym, Avtonomna Respublika",Europe
Los Palacios y Villafranca,37.1625,-5.9242,Spain,ESP,Andalusia,Europe
Pinner,51.5932,-0.3894,United Kingdom,GBR,Harrow,Europe
Monreale,38.0817,13.2889,Italy,ITA,Sicilia,Europe
Great Yarmouth,52.606,1.729,United Kingdom,GBR,Norfolk,Europe
Kamp-Lintfort,51.5,6.5333,Germany,DEU,North Rhine-Westphalia,Europe
Tonbridge,51.1987,0.2764,United Kingdom,GBR,Kent,Europe
Pereslavl'-Zalesskiy,56.7333,38.85,Russia,RUS,Yaroslavskaya Oblast’,Europe
Tuusula,60.4333,25.05,Finland,FIN,Uusimaa,Europe
Povazska Bystrica,49.1139,18.4417,Slovakia,SVK,Nitra,Europe
Ilkeston,52.9711,-1.3092,United Kingdom,GBR,Derbyshire,Europe
Voghera,44.9925,9.0092,Italy,ITA,Lombardy,Europe
Wurselen,50.8167,6.1333,Germany,DEU,North Rhine-Westphalia,Europe
Ciampino,41.8,12.6,Italy,ITA,Lazio,Europe
Koge,55.4561,12.1797,Denmark,DNK,Sjælland,Europe
Schio,45.7111,11.3556,Italy,ITA,Veneto,Europe
Leyland,53.6903,-2.6992,United Kingdom,GBR,Lancashire,Europe
Papenburg,53.0667,7.4,Germany,DEU,Lower Saxony,Europe
Strangnas,59.3667,17.0333,Sweden,SWE,Södermanland,Europe
Glenrothes,56.198,-3.178,United Kingdom,GBR,Fife,Europe
Alingsas,57.93,12.5331,Sweden,SWE,Västra Götaland,Europe
Kline,42.6167,20.5667,Kosovo,XKS,Klinë,Europe
Konakovo,56.7,36.75,Russia,RUS,Tverskaya Oblast’,Europe
Saint-Martin-d'Heres,45.1672,5.7653,France,FRA,Auvergne-Rhône-Alpes,Europe
Chartres,48.456,1.484,France,FRA,Centre-Val de Loire,Europe
Szczecinek,53.7167,16.6833,Poland,POL,Zachodniopomorskie,Europe
Saronno,45.6333,9.05,Italy,ITA,Lombardy,Europe
Novodvinsk,64.4167,40.8333,Russia,RUS,Arkhangel’skaya Oblast’,Europe
Chorley,53.653,-2.632,United Kingdom,GBR,Lancashire,Europe
Herne Bay,51.37,1.13,United Kingdom,GBR,Kent,Europe
Usinsk,66,57.5333,Russia,RUS,Komi,Europe
Fribourg,46.8,7.15,Switzerland,CHE,Fribourg,Europe
Mtsensk,53.2833,36.5667,Russia,RUS,Orlovskaya Oblast’,Europe
Waregem,50.8833,3.4167,Belgium,BEL,Flanders,Europe
Ripollet,41.4969,2.1574,Spain,ESP,Catalonia,Europe
Kurchatov,51.6667,35.65,Russia,RUS,Kurskaya Oblast’,Europe
Marcianise,41.0333,14.3,Italy,ITA,Campania,Europe
Steyr,48.0333,14.4167,Austria,AUT,Oberösterreich,Europe
Alekseyevka,50.6333,38.7,Russia,RUS,Belgorodskaya Oblast’,Europe
Wilrijk,51.1667,4.3833,Belgium,BEL,Flanders,Europe
Krasnyy Sulin,47.8833,40.1,Russia,RUS,Rostovskaya Oblast’,Europe
Azzano,42.7565,12.6855,Italy,ITA,Umbria,Europe
Zavolzhye,56.65,43.4,Russia,RUS,Nizhegorodskaya Oblast’,Europe
Brasschaat,51.3,4.5,Belgium,BEL,Flanders,Europe
Citta di Castello,43.4608,12.2439,Italy,ITA,Umbria,Europe
Greven,52.0917,7.6083,Germany,DEU,North Rhine-Westphalia,Europe
Bishops Stortford,51.872,0.1725,United Kingdom,GBR,Hertfordshire,Europe
Mechelen-aan-de-Maas,50.9667,5.7,Belgium,BEL,Flanders,Europe
Baksan,43.6825,43.5339,Russia,RUS,Kabardino-Balkariya,Europe
Wesseling,50.8167,6.9667,Germany,DEU,North Rhine-Westphalia,Europe
Joue-les-Tours,47.3514,0.6625,France,FRA,Centre-Val de Loire,Europe
Kehl,48.5667,7.8167,Germany,DEU,Baden-Württemberg,Europe
Bautzen,51.1814,14.4242,Germany,DEU,Saxony,Europe
Veghel,51.6167,5.55,Netherlands,NLD,Noord-Brabant,Europe
Prokuplje,43.2361,21.5903,Serbia,SRB,Prokuplje,Europe
Sama,43.3,-5.6833,Spain,ESP,Asturias,Europe
Olot,42.1833,2.4833,Spain,ESP,Catalonia,Europe
Backnang,48.9464,9.4306,Germany,DEU,Baden-Württemberg,Europe
San Adrian de Besos,41.4285,2.223,Spain,ESP,Catalonia,Europe
Annemasse,46.1958,6.2364,France,FRA,Auvergne-Rhône-Alpes,Europe
Raalte,52.3833,6.2667,Netherlands,NLD,Overijssel,Europe
Bitterfeld,51.6167,12.3167,Germany,DEU,Saxony-Anhalt,Europe
Swidnik,51.2167,22.7,Poland,POL,Lubelskie,Europe
Celje,46.2358,15.2675,Slovenia,SVN,Celje,Europe
Cerveteri,42.0075,12.105,Italy,ITA,Lazio,Europe
Tumba,59.2,17.8167,Sweden,SWE,Stockholm,Europe
Izobil'nyy,45.3667,41.7167,Russia,RUS,Stavropol’skiy Kray,Europe
Santa Pola,38.1897,-0.5556,Spain,ESP,Valencia,Europe
Oleiros,43.3333,-8.3166,Spain,ESP,Galicia,Europe
Kastel Stari,43.55,16.35,Croatia,HRV,Splitsko-Dalmatinska Županija,Europe
Teijlingen,52.2167,4.4833,Netherlands,NLD,Zuid-Holland,Europe
Nove Zamky,47.9856,18.1578,Slovakia,SVK,Nitra,Europe
Kwidzyn,53.7358,18.9308,Poland,POL,Pomorskie,Europe
Long Eaton,52.898,-1.271,United Kingdom,GBR,Derbyshire,Europe
Uchaly,54.3167,59.3833,Russia,RUS,Bashkortostan,Europe
Vasylkiv,50.1783,30.3158,Ukraine,UKR,Kyivska Oblast,Europe
Furstenfeldbruck,48.1778,11.2556,Germany,DEU,Bavaria,Europe
Villagarcia de Arosa,42.5977,-8.7632,Spain,ESP,Galicia,Europe
Venlo,51.3667,6.1667,Netherlands,NLD,Limburg,Europe
Coalville,52.724,-1.369,United Kingdom,GBR,Leicestershire,Europe
Malbork,54.0333,19.0333,Poland,POL,Pomorskie,Europe
Uryupinsk,50.8,42.0167,Russia,RUS,Volgogradskaya Oblast’,Europe
Warendorf,51.9539,7.9933,Germany,DEU,North Rhine-Westphalia,Europe
Stirling,56.1166,-3.9369,United Kingdom,GBR,Stirling,Europe
Akhtubinsk,48.2833,46.1667,Russia,RUS,Astrakhanskaya Oblast’,Europe
Boleslawiec,51.2667,15.5667,Poland,POL,Dolnośląskie,Europe
Kranj,46.2333,14.3667,Slovenia,SVN,Kranj,Europe
Dubno,50.3931,25.735,Ukraine,UKR,Rivnenska Oblast,Europe
Mira,45.4333,12.1333,Italy,ITA,Veneto,Europe
Neuilly-sur-Marne,48.8537,2.549,France,FRA,Île-de-France,Europe
Franconville,48.9889,2.2314,France,FRA,Île-de-France,Europe
Bletchley,51.994,-0.732,United Kingdom,GBR,Milton Keynes,Europe
Tosno,59.55,30.9,Russia,RUS,Leningradskaya Oblast’,Europe
Pokrov,47.6533,34.0842,Ukraine,UKR,Dnipropetrovska Oblast,Europe
Don Benito,38.9545,-5.8617,Spain,ESP,Extremadura,Europe
Goryachiy Klyuch,44.6333,39.1333,Russia,RUS,Krasnodarskiy Kray,Europe
Leighton Buzzard,51.9165,-0.6617,United Kingdom,GBR,Central Bedfordshire,Europe
Tuttlingen,47.985,8.8233,Germany,DEU,Baden-Württemberg,Europe
Lovech,43.1347,24.7172,Bulgaria,BGR,Lovech,Europe
Malgobek,43.5,44.75,Russia,RUS,Ingushetiya,Europe
Donji Kakanj,44.1311,18.0972,Bosnia and Herzegovina,BIH,"Bosnia and Herzegovina, Federation of",Europe
Samobor,45.8,15.7167,Croatia,HRV,Zagrebačka Županija,Europe
Gorinchem,51.8306,4.9742,Netherlands,NLD,Zuid-Holland,Europe
Argun,43.2944,45.8839,Russia,RUS,Chechnya,Europe
Savigny-sur-Orge,48.6797,2.3457,France,FRA,Île-de-France,Europe
Grimbergen,50.9333,4.3833,Belgium,BEL,Flanders,Europe
Becej,45.6167,20.0333,Serbia,SRB,Bečej,Europe
Eboli,40.6169,15.0564,Italy,ITA,Campania,Europe
Blyth,55.126,-1.514,United Kingdom,GBR,Northumberland,Europe
Beckum,51.755,8.0403,Germany,DEU,North Rhine-Westphalia,Europe
Falun,60.6072,15.6311,Sweden,SWE,Dalarna,Europe
Port Talbot,51.5906,-3.7986,United Kingdom,GBR,Neath Port Talbot,Europe
Landgraaf,50.9,6.0167,Netherlands,NLD,Limburg,Europe
Ceska Lipa,50.6886,14.5386,Czechia,CZE,Liberecký Kraj,Europe
Molndal,57.65,12.0167,Sweden,SWE,Västra Götaland,Europe
Moerdijk,51.65,4.6,Netherlands,NLD,Noord-Brabant,Europe
Laindon,51.574,0.4181,United Kingdom,GBR,Essex,Europe
Kizilyurt,43.2167,46.8667,Russia,RUS,Dagestan,Europe
Formia,41.2667,13.6167,Italy,ITA,Lazio,Europe
Boryslav,49.2892,23.4189,Ukraine,UKR,Lvivska Oblast,Europe
Sittard,51,5.8667,Netherlands,NLD,Limburg,Europe
Redcar,54.618,-1.069,United Kingdom,GBR,Redcar and Cleveland,Europe
Prijepolje,43.3833,19.6333,Serbia,SRB,Prijepolje,Europe
Porsgrunn,59.1156,9.71,Norway,NOR,Vestfold og Telemark,Europe
Cloppenburg,52.85,8.05,Germany,DEU,Lower Saxony,Europe
Kalinkavichy,52.125,29.3333,Belarus,BLR,Homyel’skaya Voblasts’,Europe
Llanelli,51.684,-4.163,United Kingdom,GBR,Carmarthenshire,Europe
Coesfeld,51.95,7.1667,Germany,DEU,North Rhine-Westphalia,Europe
Beslan,43.1833,44.55,Russia,RUS,North Ossetia,Europe
Thonon-les-Bains,46.3627,6.475,France,FRA,Auvergne-Rhône-Alpes,Europe
Mol,51.1833,5.1167,Belgium,BEL,Flanders,Europe
Holstebro,56.3572,8.6153,Denmark,DNK,Midtjylland,Europe
Lagkadas,40.75,23.0667,Greece,GRC,Kentrikí Makedonía,Europe
Suhl,50.6106,10.6931,Germany,DEU,Thuringia,Europe
Beeston,52.927,-1.215,United Kingdom,GBR,Nottinghamshire,Europe
La Ciotat,43.1769,5.6086,France,FRA,Provence-Alpes-Côte d’Azur,Europe
Stara Gora,43.8667,18.4333,Bosnia and Herzegovina,BIH,"Srpska, Republika",Europe
Bucha,50.5486,30.2208,Ukraine,UKR,Kyivska Oblast,Europe
Oswiecim,50.0381,19.2214,Poland,POL,Małopolskie,Europe
Netishyn,50.35,26.6333,Ukraine,UKR,Khmelnytska Oblast,Europe
Segrate,45.4833,9.3,Italy,ITA,Lombardy,Europe
Small Heath,52.4629,-1.8542,United Kingdom,GBR,Birmingham,Europe
Grugliasco,45.0667,7.5833,Italy,ITA,Piedmont,Europe
Aguilas,37.4042,-1.5819,Spain,ESP,Murcia,Europe
Echirolles,45.1436,5.7183,France,FRA,Auvergne-Rhône-Alpes,Europe
Nowa Sol,51.8,15.7167,Poland,POL,Lubuskie,Europe
Pylaia,40.6,22.9833,Greece,GRC,Kentrikí Makedonía,Europe
Maddaloni,41.0333,14.3833,Italy,ITA,Campania,Europe
Erding,48.2833,11.9,Germany,DEU,Bavaria,Europe
Marijampole,54.5472,23.35,Lithuania,LTU,Marijampolė,Europe
Uster,47.35,8.7167,Switzerland,CHE,Zürich,Europe
Camberley,51.335,-0.742,United Kingdom,GBR,Surrey,Europe
Chatillon,48.8,2.29,France,FRA,Île-de-France,Europe
Vastervik,57.75,16.6333,Sweden,SWE,Kalmar,Europe
Houghton le Spring,54.841,-1.468,United Kingdom,GBR,Sunderland,Europe
Torres Novas,39.4667,-8.5333,Portugal,PRT,Santarém,Europe
Michalovce,48.7553,21.9133,Slovakia,SVK,Košice,Europe
Lierre,51.1333,4.5667,Belgium,BEL,Flanders,Europe
Esch-sur-Alzette,49.4969,5.9806,Luxembourg,LUX,Esch-sur-Alzette,Europe
Whitley Bay,55.0456,-1.4443,United Kingdom,GBR,North Tyneside,Europe
Sinsheim,49.25,8.8833,Germany,DEU,Baden-Württemberg,Europe
Rossano,39.5667,16.6333,Italy,ITA,Calabria,Europe
Schaffhausen,47.7,8.6333,Switzerland,CHE,Schaffhausen,Europe
Chippenham,51.459,-2.116,United Kingdom,GBR,Wiltshire,Europe
Knurow,50.2167,18.6833,Poland,POL,Śląskie,Europe
Berat,40.7022,19.9583,Albania,ALB,Berat,Europe
Cambrils,41.0667,1.0583,Spain,ESP,Catalonia,Europe
West Bridgford,52.932,-1.127,United Kingdom,GBR,Nottinghamshire,Europe
Rende,39.3333,16.1833,Italy,ITA,Calabria,Europe
Holubivske,48.6333,38.65,Ukraine,UKR,Luhanska Oblast,Europe
Porta Westfalica,52.2167,8.9333,Germany,DEU,North Rhine-Westphalia,Europe
