miasto,lat,lon,kraj,iso,region,kontynent
El Fasher,13.6306,25.35,Sudan,SDN,North Darfur,Africa
Belas,-8.9983,13.265,Angola,AGO,Luanda,Africa
Talatona,-8.9167,13.1833,Angola,AGO,Luanda,Africa
Likasi,-10.9833,26.7333,Congo (Kinshasa),COD,Haut-Katanga,Africa
Oujda-Angad,34.6867,-1.9114,Morocco,MAR,Oriental,Africa
Nyala,12.05,24.8833,Sudan,SDN,South Darfur,Africa
Bissau,11.85,-15.5667,Guinea-Bissau,GNB,Bissau,Africa
Garoowe,8.4,48.4667,Somalia,SOM,Nugaal,Africa
Akhmim,26.5667,31.75,Egypt,EGY,Sūhāj,Africa
Kolwezi,-10.7167,25.4667,Congo (Kinshasa),COD,Lualaba,Africa
East London,-33.0175,27.9047,South Africa,ZAF,Eastern Cape,Africa
Berbera,10.4356,45.0164,Somalia,SOM,Woqooyi Galbeed,Africa
Eldoret,0.5167,35.2833,Kenya,KEN,Uasin Gishu,Africa
Katlehong,-26.3333,28.15,South Africa,ZAF,Gauteng,Africa
Constantine,36.35,6.6,Algeria,DZA,Constantine,Africa
Juba,4.85,31.6,South Sudan,SSD,Central Equatoria,Africa
Kikwit,-5.0386,18.8181,Congo (Kinshasa),COD,Kwilu,Africa
Ado-Ekiti,7.6211,5.2214,Nigeria,NGA,Ekiti,Africa
Ndjili,-4.4089,15.3775,Congo (Kinshasa),COD,Kinshasa,Africa
Al Maraghah,26.7,31.6,Egypt,EGY,Sūhāj,Africa
Kenitra,34.25,-6.5833,Morocco,MAR,Rabat-Salé-Kénitra,Africa
Windhoek,-22.57,17.0836,Namibia,NAM,Khomas,Africa
Sidi Bouzid,35.0381,9.4858,Tunisia,TUN,Sidi Bouzid,Africa
Tanta,30.7833,31,Egypt,EGY,Al Gharbīyah,Africa
Ismailia,30.5833,32.2667,Egypt,EGY,Al Ismā‘īlīyah,Africa
Sokoto,13.0622,5.2339,Nigeria,NGA,Sokoto,Africa
Al Bajur,30.4333,31.0569,Egypt,EGY,Al Minūfīyah,Africa
Burco,9.5279,45.5345,Somalia,SOM,Togdheer,Africa
Daloa,6.8833,-6.45,Côte d’Ivoire,CIV,Sassandra-Marahoué,Africa
Agadir,30.4333,-9.6,Morocco,MAR,Souss-Massa,Africa
Ugep,5.8,8.0833,Nigeria,NGA,Cross River,Africa
El Obeid,13.1833,30.2167,Sudan,SDN,North Kordofan,Africa
Arusha,-3.3667,36.6833,Tanzania,TZA,Arusha,Africa
Ajdabiya,30.7556,20.2253,Libya,LBY,Al Wāḩāt,Africa
Awsim,30.1167,31.1333,Egypt,EGY,Al Jīzah,Africa
Tala,30.6801,30.9438,Egypt,EGY,Al Minūfīyah,Africa
Talkha,31.0547,31.3756,Egypt,EGY,Ad Daqahlīyah,Africa
Banjul,13.4531,-16.5775,"Gambia, The",GMB,Banjul,Africa
Koumassi,5.3,-3.95,Côte d’Ivoire,CIV,Abidjan,Africa
Kisumu,-0.0833,34.7667,Kenya,KEN,Kisumu,Africa
Shashemene,7.2,38.6,Ethiopia,ETH,Oromīya,Africa
Zaria,11.0667,7.7,Nigeria,NGA,Kaduna,Africa
Betsiboka,-16.95,46.83,Madagascar,MDG,Mahajanga,Africa
Thies,14.7833,-16.9167,Senegal,SEN,Thiès,Africa
Lobito,-12.3667,13.5333,Angola,AGO,Benguela,Africa
Saurimo,-9.65,20.4,Angola,AGO,Lunda-Sul,Africa
Yola,9.23,12.46,Nigeria,NGA,Adamawa,Africa
Khayelitsha,-34.0403,18.6778,South Africa,ZAF,Western Cape,Africa
Nnewi,6.0167,6.9167,Nigeria,NGA,Anambra,Africa
San-Pedro,4.75,-6.6333,Côte d’Ivoire,CIV,Bas-Sassandra,Africa
Asyut,27.1833,31.1667,Egypt,EGY,Asyūţ,Africa
Gwoza,11.0861,13.6914,Nigeria,NGA,Borno,Africa
Saki,8.6667,3.4,Nigeria,NGA,Oyo,Africa
Uvinza,-5.1069,30.3839,Tanzania,TZA,Kigoma,Africa
Oyo,7.85,3.933,Nigeria,NGA,Oyo,Africa
Kisenzi,-4.4094,15.3425,Congo (Kinshasa),COD,Kinshasa,Africa
Ceel Baraf,3.2073,45.7587,Somalia,SOM,Shabeellaha Dhexe,Africa
Ilesa,7.6167,4.7167,Nigeria,NGA,Osun,Africa
Gusau,12.15,6.6667,Nigeria,NGA,Zamfara,Africa
Tetouan,35.5667,-5.3667,Morocco,MAR,Tanger-Tétouan-Al Hoceïma,Africa
Mamou,10.3833,-12.0833,Guinea,GIN,Mamou,Africa
Dikirnis,31.0883,31.5969,Egypt,EGY,Ad Daqahlīyah,Africa
Chitungwiza,-17.9939,31.0481,Zimbabwe,ZWE,Harare,Africa
Qardho,9.5,49.0833,Somalia,SOM,Bari,Africa
Warri,5.5167,5.75,Nigeria,NGA,Delta,Africa
K'ebri Dehar,6.7333,44.2667,Ethiopia,ETH,Sumalē,Africa
Buurhakaba,2.7833,44.0833,Somalia,SOM,Bay,Africa
